spent,date,shown,link
Spent ₹0 – ₹250,From 23 Apr - 10 May 2024 (18 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17746759065540755457?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 31 May 2024 (35 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17736334595797811201?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 23 Apr - 30 May 2024 (37 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17722552217543639041?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17701089750569451521?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹500 – ₹750,From 26 Apr - 30 May 2024 (25 days),Shown 5K – 6K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17653126304586792961?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 10 May 2024 (21 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17649288459250040833?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 10 May 2024 (25 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17604551530139090945?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17591595984629006337?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 12 May 2024 (23 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17557597985586544641?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (33 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17545494561587986433?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹1K – ₹1.5K,From 14 Apr - 30 May 2024 (34 days),Shown 10K – 15K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17491803209780428801?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 21 Apr - 4 May 2024 (13 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17484859793851023361?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹225K – ₹250K,From 21 Apr - 18 May 2024 (27 days),Shown 800K – 900K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17457838196086800385?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹250 – ₹500,From 23 Apr - 4 May 2024 (12 days),Shown 1K – 2K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17432070041578242049?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
